WaterQualityID,StationCode,StationName,TargetLatitude,TargetLongitude,Region,SampleDate,"Arsenic, Total","Cadmium, Total","Chromium, Total","Nitrogen, Total, Total","Oxygen, Dissolved, Total","Phosphorus as P, Total","Total Organic Carbon, Total","Turbidity, Total",pH,SampleYear,index_right,FIRE_NAME,ALARM_DATE,FireYear,GIS_ACRES
48579,628SHP001,"Sheep Cr, below Scout Camp",34.25364,-117.12391,6,2003-06-18,,,,,6.5,,,,,2003,7398.0,OLD,2003-10-25 00:00:00+00:00,2003.0,91428.0
49010,631MIL001,"Mill Cr, central",38.476,-119.48767,6,2002-07-19,,,,,7.5,0.136,,3.2,8.2,2002,7740.0,CANNON,2002-06-15 00:00:00+00:00,2002.0,26684.135
49159,631WWK001,"West Walker River, at Coleville",38.51337,-119.4488,6,2020-03-11,,,,0.13,9.5,0.01,,1.14,,2020,1558.0,MOUNTAIN VIEW,2020-11-17 00:00:00+00:00,2020.0,20374.564
49086,631WWK001,"West Walker River, at Coleville",38.51337,-119.4488,6,2002-08-21,,,,,,,,2.0,8.3,2002,7740.0,CANNON,2002-06-15 00:00:00+00:00,2002.0,26684.135
49429,632ECR005,"East Fork Carson, at USGS gage blw Markleeville",38.71542,-119.7644,6,2021-11-17,,,,,,0.04,,1.62,7.6,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
49428,632ECR005,"East Fork Carson, at USGS gage blw Markleeville",38.71542,-119.7644,6,2021-06-09,,,,,,0.04,,1.64,,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
49351,632ECR005,"East Fork Carson, at USGS gage blw Markleeville",38.71542,-119.7644,6,2021-09-16,,,,,,0.05,,1.87,7.9,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
49507,632ECRB10,"East Fork Carson River, above Hangman's bridge",38.68959,-119.76394,6,2021-10-26,,,,,10.4,,,22.1,7.7,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
49508,632ECRB10,"East Fork Carson River, above Hangman's bridge",38.68959,-119.76394,6,2021-11-22,,,,,11.8,0.06,,1.47,7.19,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
49494,632ECRB10,"East Fork Carson River, above Hangman's bridge",38.68959,-119.76394,6,2021-08-02,,,,,7.5,,,110.0,,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
49497,632ECRB10,"East Fork Carson River, above Hangman's bridge",38.68959,-119.76394,6,2021-09-22,,,,,9.1,0.05,,,8.3,2021,1154.0,TAMARACK,2021-07-04 00:00:00+00:00,2021.0,67054.51
51514,722PS0611,San Felipe Creek ~1mi below Sentenac Cienaga,33.11256732,-116.4447054,7,2010-06-08,,,,0.699,,0.0315,,2.63,7.38,2010,5360.0,NARROWS,2010-06-16 00:00:00+00:00,2010.0,49.861908
52492,801LL0001,Lost Lake Depressional Wetland Site 0001,34.272969,-117.465228,8,2016-06-13,,,,,0.96,,,,8.34,2016,3383.0,BLUE CUT,2016-08-16 00:00:00+00:00,2016.0,36266.695
52651,801SAR528,Santa Ana River Random Olsen Site 528,33.87475,-117.71311,8,2008-05-25,,,,,,,,,7.86,2008,5727.0,FREEWAY,2008-11-15 00:00:00+00:00,2008.0,30305.232
52733,801WE1132,Santa Ana River SF ~3.5mi above Mainstem,34.13332,-116.84289,8,2015-04-20,,,,0.0511,8.52,0.0064,,0.56,10.6,2015,3745.0,LAKE,2015-06-17 00:00:00+00:00,2015.0,31284.441
53271,902RCWGRx,Rainbow Creek upstream of Willow Glen Road,33.40725,-117.19969,9,2007-04-28,,,,,8.77,,,,,2007,6170.0,RICE,2007-10-07 00:00:00+00:00,2007.0,9471.854
53347,903FCPSPx,French Creek (FCPSP),33.35017,-116.91278,9,2007-04-29,,,,,6.0,,,,,2007,6159.0,POOMACHA,2007-10-23 00:00:00+00:00,2007.0,49410.97
53987,910OTJMC4,Jamul Creek 4,32.63747,-116.88405,9,2003-01-21,,,,,,,,1.4,7.39,2003,7402.0,MINE/OTAY,2003-10-26 00:00:00+00:00,2003.0,44734.13
53986,910OTJMC4,Jamul Creek 4,32.63747,-116.88405,9,2003-04-21,,,,,,,,3.06,,2003,7402.0,MINE/OTAY,2003-10-26 00:00:00+00:00,2003.0,44734.13
53989,910OTJMC4,Jamul Creek 4,32.63747,-116.88405,9,2003-05-15,,,,,,,,1.8,,2003,7402.0,MINE/OTAY,2003-10-26 00:00:00+00:00,2003.0,44734.13
54034,911NP9UCW,Cottonwood Creek ~1.4mi above I8,32.81829,-116.49235,9,2014-03-24,,,,0.209,,0.0238,,,10.5,2014,4106.0,GUN,2014-03-08 00:00:00+00:00,2014.0,270.07477
54031,911NP9UCW,Cottonwood Creek ~1.4mi above I8,32.81829,-116.49235,9,2014-04-29,,,,0.313,,0.0311,,0.82,8.3,2014,4106.0,GUN,2014-03-08 00:00:00+00:00,2014.0,270.07477
